Date,price_EUR,ab_test,vehicle_type,registration_year,transmission,power_ps,odometer_km,registration_month
06-04-2016,3499,control,kleinwagen,2009,manuell,54,20000,10
04-03-2016,7300,test,kleinwagen,2009,manuell,125,80000,6
09-04-2016,13500,control,coupe,2009,manuell,170,150000,6
07-04-2016,13000,control,kombi,2011,manuell,170,150000,9
15-03-2016,990,test,limousine,1999,manuell,170,150000,7
02-04-2016,1800,control,Unknown,2005,manuell,155,150000,10
02-03-2016,1300,control,limousine,1996,manuell,125,150000,12
20-04-2016,6550,control,bus,2010,manuell,131,125000,3
02-03-2016,5650,test,cabrio,2008,manuell,88,100000,6
07-04-2016,6299,control,suv,2003,manuell,165,150000,3
15-04-2016,10500,control,kombi,2005,automatik,224,150000,10
15-04-2016,5500,test,kleinwagen,2008,manuell,120,125000,9
16-04-2016,750,test,kombi,2001,manuell,107,150000,7
25-03-2016,4700,control,cabrio,2006,manuell,109,100000,3
25-04-2016,1290,test,kombi,2001,automatik,218,150000,5
20-03-2016,1600,control,limousine,1998,manuell,75,150000,10
11-03-2016,6600,control,limousine,2004,manuell,102,150000,11
21-03-2016,2700,test,kombi,2000,manuell,140,150000,4
29-04-2016,1550,test,kombi,2000,automatik,125,150000,3
09-03-2016,1000,control,limousine,1999,manuell,101,150000,10
08-03-2016,14000,control,Unknown,2016,automatik,286,150000,6
21-04-2016,1490,test,bus,2005,manuell,125,150000,7
05-03-2016,5000,control,kombi,2008,manuell,140,150000,5
08-03-2016,950,control,limousine,1993,manuell,116,150000,11
10-03-2016,850,test,kleinwagen,1998,manuell,65,150000,6
07-03-2016,1650,control,suv,1994,manuell,129,150000,12
13-04-2016,5390,test,kleinwagen,2006,manuell,131,150000,11
01-04-2016,39900,control,suv,2014,manuell,122,20000,11
10-04-2016,4899,test,kombi,2005,manuell,136,150000,4
10-03-2016,1599,control,kleinwagen,2002,manuell,50,150000,12
20-04-2016,12900,control,kombi,2008,automatik,235,150000,9
15-04-2016,47000,control,coupe,1977,manuell,165,150000,7
18-03-2016,4700,test,bus,2005,manuell,75,125000,5
26-03-2016,3800,control,kombi,2002,manuell,105,125000,5
25-04-2016,3300,control,kombi,2003,automatik,170,150000,8
05-03-2016,1000,control,kleinwagen,1999,manuell,50,150000,8
08-03-2016,5300,control,kombi,2004,manuell,115,150000,10
20-03-2016,16900,test,kombi,2008,automatik,232,150000,3
28-03-2016,10000,control,kombi,2007,automatik,197,150000,7
18-03-2016,3450,test,kleinwagen,2005,manuell,64,125000,10
29-04-2016,7900,control,limousine,1967,manuell,90,90000,3
07-03-2016,1880,control,bus,2001,manuell,108,150000,11
21-03-2016,9350,control,limousine,2005,automatik,163,150000,6
07-03-2016,2400,test,kleinwagen,2007,manuell,54,150000,3
19-03-2016,799,control,kleinwagen,2001,manuell,75,150000,3
19-03-2016,4850,control,limousine,2007,manuell,109,150000,9
15-03-2016,2950,test,kleinwagen,2006,manuell,101,150000,8
07-03-2016,3700,control,kombi,2005,manuell,200,150000,3
19-04-2016,8900,control,limousine,2009,manuell,132,70000,4
09-04-2016,1799,control,kleinwagen,2002,manuell,110,150000,6
21-04-2016,1200,test,limousine,1998,manuell,77,100000,4
13-04-2016,5499,control,kleinwagen,2009,manuell,82,125000,6
19-04-2016,30990,test,limousine,2010,automatik,250,125000,10
04-04-2016,9200,test,coupe,2009,manuell,179,80000,6
07-03-2016,3000,control,kleinwagen,2007,manuell,80,150000,12
02-04-2016,750,control,cabrio,1999,manuell,75,150000,1
19-03-2016,1999,control,kleinwagen,2003,manuell,95,150000,10
09-03-2016,9999,test,limousine,2010,automatik,105,100000,2
29-04-2016,12500,control,coupe,2001,automatik,306,150000,3
23-04-2016,990,test,kleinwagen,2001,manuell,75,150000,12
13-04-2016,1390,test,kleinwagen,2000,automatik,54,30000,2
08-04-2016,999,control,kleinwagen,1995,manuell,55,150000,8
05-04-2016,950,test,kleinwagen,2002,manuell,54,5000,6
28-03-2016,1499,test,kleinwagen,1990,manuell,45,70000,1
18-04-2016,16450,control,limousine,2010,manuell,184,60000,12
24-03-2016,7350,test,bus,2006,manuell,140,90000,5
17-03-2016,3400,test,kombi,2008,automatik,170,150000,1
25-04-2016,7990,control,limousine,2005,automatik,272,150000,9
23-04-2016,1300,control,kleinwagen,2000,manuell,54,90000,1
15-03-2016,850,test,kleinwagen,1999,automatik,53,150000,6
17-04-2016,3100,test,limousine,2001,manuell,170,150000,5
17-04-2016,12999,control,bus,2012,manuell,163,150000,4
27-04-2016,1000,control,limousine,2003,manuell,97,150000,3
13-04-2016,4000,control,limousine,2009,manuell,143,125000,3
13-04-2016,4000,test,bus,2005,manuell,131,100000,6
17-03-2016,35000,control,coupe,2011,manuell,265,30000,4
06-03-2016,7299,control,kombi,2011,manuell,105,150000,12
04-03-2016,6990,control,limousine,2004,automatik,224,150000,8
05-04-2016,8300,control,kombi,2006,automatik,231,150000,7
13-03-2016,1190,test,limousine,1999,manuell,122,150000,3
22-03-2016,4500,test,kleinwagen,2006,manuell,65,150000,4
15-04-2016,14860,test,coupe,1987,automatik,223,150000,5
18-04-2016,999,test,kleinwagen,2000,manuell,90,150000,5
15-04-2016,2999,control,kombi,1997,manuell,170,150000,3
14-03-2016,1650,control,limousine,2002,manuell,90,150000,5
30-04-2016,2200,test,kombi,2002,manuell,102,150000,11
25-03-2016,7200,test,bus,2004,automatik,174,150000,6
30-03-2016,6665,control,kombi,2009,automatik,170,150000,4
02-04-2016,5100,test,kombi,2002,manuell,170,150000,9
16-04-2016,800,control,kombi,1999,manuell,101,150000,1
14-03-2016,5999,control,cabrio,2002,manuell,170,150000,7
07-03-2016,2450,test,kombi,2000,manuell,118,150000,1
01-03-2016,500,test,kombi,1998,manuell,150,150000,3
25-04-2016,11490,control,limousine,2010,automatik,143,125000,1
12-03-2016,555,test,limousine,1999,automatik,163,125000,4
06-03-2016,800,control,limousine,1999,manuell,75,150000,11
15-03-2016,3500,test,kleinwagen,2007,manuell,118,150000,11
01-04-2016,5300,control,kombi,2006,manuell,105,150000,10
20-03-2016,1200,test,Unknown,2016,manuell,72,150000,5
17-03-2016,1400,test,kombi,2004,manuell,121,150000,11
06-04-2016,5800,control,cabrio,2008,automatik,84,50000,5
29-04-2016,3799,test,cabrio,2005,manuell,109,150000,8
22-04-2016,7200,control,kleinwagen,2009,manuell,97,70000,11
09-03-2016,5300,control,limousine,2005,manuell,90,90000,9
03-03-2016,1799,control,kombi,2000,manuell,80,150000,7
03-04-2016,3150,test,bus,2001,manuell,116,150000,12
08-04-2016,6250,test,suv,2005,manuell,150,150000,5
26-04-2016,1000,test,kombi,1999,manuell,184,150000,12
15-03-2016,11900,test,kombi,2008,automatik,136,150000,2
30-03-2016,1200,control,limousine,1998,manuell,75,150000,7
19-04-2016,7850,control,kombi,2005,automatik,143,150000,5
29-04-2016,1150,test,limousine,1998,manuell,100,150000,3
03-03-2016,7900,control,bus,2007,manuell,150,150000,11
12-03-2016,4200,test,limousine,2004,manuell,143,150000,7
11-04-2016,23990,test,bus,2014,automatik,140,30000,10
12-04-2016,7985,test,limousine,2008,manuell,122,150000,5
25-03-2016,11500,test,coupe,2009,manuell,150,90000,12
24-03-2016,8800,test,kombi,2011,manuell,165,30000,12
04-04-2016,755,test,limousine,1998,manuell,131,150000,10
24-03-2016,11500,control,kombi,2008,manuell,177,125000,4
25-04-2016,4500,control,coupe,2005,manuell,150,150000,8
28-04-2016,18999,test,bus,2011,manuell,140,80000,8
27-04-2016,6600,test,limousine,2004,automatik,249,150000,5
12-03-2016,4999,control,suv,2003,manuell,116,150000,11
08-03-2016,1850,test,limousine,2001,automatik,101,125000,12
28-03-2016,4599,test,bus,2011,manuell,131,150000,5
09-03-2016,1699,control,kleinwagen,2006,manuell,54,150000,9
21-04-2016,3000,test,limousine,2001,manuell,105,150000,2
23-03-2016,2900,control,bus,2005,automatik,150,150000,1
28-03-2016,4900,test,kleinwagen,2007,manuell,69,150000,6
22-04-2016,1300,control,kombi,1998,manuell,75,5000,10
23-03-2016,2499,control,limousine,2005,automatik,95,125000,3
10-03-2016,800,control,bus,2000,automatik,138,150000,5
16-03-2016,25250,test,suv,2011,automatik,170,125000,1
11-04-2016,30850,control,suv,2010,automatik,170,60000,10
06-03-2016,10500,control,limousine,2010,manuell,114,70000,1
16-04-2016,1100,test,kleinwagen,1999,manuell,54,125000,3
02-04-2016,1900,control,limousine,2003,manuell,125,150000,3
24-03-2016,21490,test,limousine,2012,automatik,235,60000,3
17-03-2016,18900,test,limousine,2008,automatik,272,125000,3
13-04-2016,5900,test,kleinwagen,2010,manuell,109,70000,12
06-03-2016,1899,test,bus,2005,automatik,177,150000,6
18-03-2016,12200,test,coupe,2005,automatik,272,150000,6
05-03-2016,1199,test,kleinwagen,1998,manuell,50,150000,8
23-04-2016,63500,test,coupe,2013,automatik,450,20000,1
27-04-2016,10500,control,kombi,2008,automatik,232,150000,5
15-03-2016,1350,test,coupe,1996,manuell,150,150000,10
01-04-2016,4000,control,kleinwagen,2003,manuell,80,20000,6
03-04-2016,2200,test,bus,2003,manuell,100,150000,8
25-03-2016,14300,control,limousine,2011,manuell,170,100000,5
16-04-2016,1450,test,kombi,2000,manuell,101,150000,5
22-04-2016,2200,test,kombi,2004,manuell,101,150000,9
10-03-2016,9200,control,coupe,2003,automatik,218,150000,7
21-03-2016,23500,test,limousine,2015,manuell,109,5000,9
24-03-2016,7999,test,limousine,2004,automatik,177,150000,12
04-04-2016,750,control,limousine,1995,manuell,115,125000,5
16-04-2016,1500,control,kombi,2005,manuell,116,150000,6
09-03-2016,1699,test,limousine,1996,manuell,102,150000,11
27-04-2016,6999,test,limousine,2004,automatik,177,150000,4
01-03-2016,699,test,kleinwagen,2002,manuell,60,150000,9
24-03-2016,990,test,kleinwagen,2003,manuell,60,125000,3
29-03-2016,1200,test,kombi,2000,manuell,193,150000,12
16-03-2016,1350,control,kleinwagen,2001,manuell,60,150000,3
19-04-2016,7399,test,bus,2006,manuell,75,80000,3
21-03-2016,11995,test,kombi,2009,manuell,143,60000,6
05-03-2016,4400,test,Unknown,2016,Unknown,75,125000,12
28-04-2016,4600,control,bus,1991,manuell,84,150000,3
11-04-2016,10600,test,limousine,2011,manuell,122,100000,7
03-04-2016,700,test,kleinwagen,2000,manuell,60,150000,4
25-04-2016,13250,test,kombi,2008,automatik,197,150000,5
18-04-2016,5895,test,bus,2008,automatik,116,150000,9
12-03-2016,1999,test,cabrio,2001,manuell,136,150000,4
10-04-2016,14900,test,limousine,2010,automatik,125,60000,11
25-03-2016,8000,test,limousine,2008,manuell,143,90000,12
26-03-2016,8500,control,limousine,2005,manuell,177,150000,10
21-03-2016,1400,test,limousine,1999,manuell,75,150000,9
03-03-2016,2000,test,kombi,1996,manuell,150,150000,9
12-04-2016,1050,control,kleinwagen,1999,manuell,60,150000,3
11-04-2016,2200,test,limousine,1995,automatik,230,150000,10
04-03-2016,2990,control,bus,1996,manuell,102,150000,8
08-04-2016,1990,test,kleinwagen,2007,manuell,63,100000,3
01-04-2016,5200,control,bus,2004,manuell,131,150000,6
29-03-2016,7085,control,cabrio,2010,manuell,69,80000,5
19-04-2016,34000,test,cabrio,1967,manuell,50,10000,6
21-04-2016,1350,test,limousine,1999,manuell,136,150000,3
13-04-2016,2499,control,limousine,1999,manuell,75,150000,2
16-04-2016,8499,test,kombi,2007,automatik,231,150000,11
22-03-2016,700,control,Unknown,1996,manuell,90,150000,11
05-04-2016,999,test,kleinwagen,1997,manuell,75,150000,6
29-04-2016,3100,test,kleinwagen,2006,manuell,86,125000,1
15-03-2016,7350,control,limousine,2009,manuell,116,70000,10
11-03-2016,1799,test,limousine,1997,manuell,171,150000,10
30-03-2016,3000,test,kombi,2004,automatik,163,150000,7
19-04-2016,21900,control,kombi,2007,automatik,349,90000,2
20-04-2016,1550,test,kombi,2001,manuell,60,150000,2
22-03-2016,5990,test,coupe,2008,manuell,120,90000,4
10-03-2016,6499,control,bus,2004,manuell,105,150000,8
11-03-2016,6350,test,suv,2002,automatik,184,150000,11
26-03-2016,11000,test,kombi,2011,automatik,143,5000,8
27-04-2016,13500,control,bus,2011,manuell,150,90000,4
15-03-2016,4400,test,limousine,2001,automatik,193,150000,2
04-03-2016,3200,control,limousine,1996,automatik,299,150000,6
13-03-2016,7290,control,kombi,2008,manuell,105,150000,9
24-04-2016,950,control,limousine,1995,manuell,193,150000,3
08-03-2016,700,test,kleinwagen,1996,manuell,45,150000,5
21-04-2016,5500,test,kleinwagen,2010,manuell,75,125000,2
20-04-2016,15600,test,limousine,2015,manuell,86,20000,2
10-03-2016,11999,test,kombi,2002,automatik,505,150000,12
01-03-2016,1650,test,kombi,1999,manuell,102,150000,2
05-03-2016,17500,control,limousine,2009,automatik,275,125000,10
09-03-2016,1250,test,limousine,2002,manuell,75,150000,6
25-03-2016,1050,test,coupe,1997,automatik,150,150000,1
22-04-2016,1250,control,limousine,2007,manuell,75,90000,1
13-03-2016,900,control,limousine,1998,manuell,193,150000,12
30-04-2016,700,control,kombi,1997,automatik,170,150000,7
12-03-2016,950,test,limousine,1997,manuell,150,150000,6
26-03-2016,2200,control,kombi,2002,manuell,90,150000,5
11-03-2016,6900,test,kombi,2010,manuell,105,150000,10
16-04-2016,1390,control,kombi,2004,automatik,75,150000,4
30-03-2016,5200,control,kombi,2007,manuell,140,150000,10
14-03-2016,5199,test,limousine,2005,manuell,163,150000,5
22-04-2016,3900,test,coupe,1999,manuell,179,150000,3
07-03-2016,73900,test,coupe,2012,automatik,349,40000,1
16-04-2016,4300,control,kombi,2003,manuell,101,150000,6
06-04-2016,5000,test,kombi,2004,manuell,131,150000,3
10-03-2016,2400,control,limousine,2001,manuell,109,150000,11
20-04-2016,6410,control,kombi,2007,automatik,150,150000,2
30-04-2016,4000,test,kombi,2003,manuell,231,150000,12
24-03-2016,9250,control,limousine,2006,automatik,230,150000,7
29-03-2016,750,test,kombi,2001,manuell,75,150000,3
21-04-2016,18900,control,coupe,1970,manuell,120,150000,1
24-04-2016,2500,test,kombi,2008,automatik,120,150000,8
09-04-2016,12900,control,kombi,2007,manuell,179,150000,3
08-04-2016,3800,control,limousine,1999,manuell,170,150000,10
12-04-2016,1000,control,kleinwagen,2002,manuell,75,150000,4
17-03-2016,5900,control,kombi,2009,manuell,122,150000,6
23-04-2016,3499,control,kombi,2003,manuell,102,150000,7
12-03-2016,16900,test,coupe,2007,automatik,200,80000,6
17-03-2016,700,control,kombi,1993,manuell,116,150000,2
13-03-2016,4800,test,cabrio,1979,Unknown,50,150000,3
09-03-2016,900,control,kleinwagen,1999,manuell,60,125000,7
21-04-2016,1600,control,kleinwagen,2001,manuell,90,150000,1
18-03-2016,1350,test,coupe,1997,manuell,903,150000,9
11-03-2016,7840,control,kleinwagen,2011,manuell,101,60000,3
23-04-2016,7500,control,kombi,2005,automatik,140,150000,6
30-04-2016,1999,test,limousine,2000,manuell,105,150000,4
26-03-2016,5750,control,kombi,2003,automatik,163,80000,8
09-04-2016,4500,test,bus,2000,manuell,71,125000,9
19-03-2016,3490,control,limousine,2002,automatik,179,150000,6
28-03-2016,2000,test,bus,2003,manuell,122,150000,2
18-04-2016,11756,test,limousine,2006,automatik,218,150000,2
30-03-2016,2500,test,limousine,2001,manuell,105,125000,1
30-04-2016,5800,control,kombi,2004,manuell,143,150000,6
24-03-2016,3600,control,kleinwagen,2008,manuell,77,150000,9
09-03-2016,3150,control,kombi,2006,manuell,150,150000,9
16-04-2016,1299,test,kombi,1997,manuell,147,150000,12
22-03-2016,5990,control,kombi,2007,manuell,116,100000,10
19-03-2016,9999,control,bus,2007,automatik,140,150000,7
24-03-2016,2500,test,limousine,2001,manuell,116,150000,7
10-04-2016,7777,control,limousine,2002,manuell,231,150000,3
04-03-2016,2000,test,limousine,1996,Unknown,170,150000,2
17-04-2016,800,test,kleinwagen,1995,manuell,115,150000,5
17-04-2016,650,control,limousine,1995,automatik,101,150000,10
22-04-2016,1200,test,kleinwagen,2003,manuell,60,125000,3
24-03-2016,13499,test,kombi,2013,manuell,105,50000,8
19-03-2016,21900,test,cabrio,2002,automatik,306,150000,7
20-03-2016,4900,test,limousine,2004,manuell,143,150000,7
04-03-2016,3599,test,kleinwagen,2007,manuell,75,80000,5
13-03-2016,1150,control,kombi,2003,manuell,116,150000,12
14-04-2016,1500,control,limousine,1997,manuell,150,150000,10
28-03-2016,1300,control,kombi,2001,manuell,102,150000,8
21-03-2016,4900,test,limousine,2004,manuell,75,150000,5
30-04-2016,15250,test,kombi,2008,automatik,272,150000,11
29-04-2016,500,control,kleinwagen,1997,manuell,54,150000,5
01-03-2016,2600,test,limousine,2005,manuell,75,150000,5
25-03-2016,7900,test,kleinwagen,2012,manuell,87,30000,2
05-03-2016,2500,test,kleinwagen,2009,manuell,82,150000,6
27-03-2016,3350,test,kleinwagen,2007,manuell,80,125000,11
17-03-2016,2500,control,kombi,2003,automatik,163,150000,2
22-03-2016,1750,test,bus,2000,manuell,101,125000,8
10-04-2016,990,control,kombi,1998,manuell,115,150000,10
16-03-2016,10300,control,suv,2009,manuell,177,125000,12
08-04-2016,36900,control,bus,2015,automatik,150,20000,4
22-04-2016,8490,test,limousine,1990,manuell,160,150000,12
16-04-2016,1500,test,kombi,1997,manuell,150,150000,6
30-03-2016,4199,control,limousine,2004,automatik,140,150000,10
07-04-2016,2600,test,kleinwagen,2001,manuell,80,100000,7
29-03-2016,7590,test,cabrio,2006,manuell,140,150000,9
02-04-2016,2900,control,kleinwagen,2007,manuell,60,60000,11
27-04-2016,1500,control,kombi,2001,manuell,163,150000,6
15-03-2016,2699,control,limousine,2003,manuell,184,150000,1
14-03-2016,1400,control,andere,1995,manuell,68,150000,12
12-04-2016,4990,control,kombi,2005,manuell,101,125000,2
19-03-2016,12700,test,kombi,2007,automatik,177,150000,1
20-04-2016,2950,control,coupe,1998,automatik,218,150000,7
23-03-2016,3900,test,kleinwagen,2004,manuell,90,150000,6
15-03-2016,16900,control,kombi,2010,manuell,179,90000,4
01-03-2016,990,test,kombi,1999,manuell,88,150000,5
19-04-2016,850,control,kleinwagen,2002,manuell,75,30000,1
18-04-2016,15000,test,coupe,1991,manuell,286,150000,2
04-03-2016,880,control,limousine,1999,manuell,88,80000,1
25-03-2016,12000,control,limousine,1981,manuell,110,150000,7
04-03-2016,4750,test,limousine,2004,manuell,192,150000,4
05-04-2016,22499,control,suv,2015,manuell,150,20000,4
07-03-2016,750,control,kleinwagen,1997,manuell,60,5000,12
28-04-2016,1111,test,bus,2000,manuell,116,150000,8
09-04-2016,1500,test,kleinwagen,1999,manuell,75,125000,12
12-03-2016,39500,test,bus,1961,manuell,50,5000,12
25-04-2016,3200,test,kombi,2004,automatik,163,150000,8
01-04-2016,800,control,kombi,2002,manuell,90,150000,6
19-03-2016,4299,control,limousine,2000,manuell,143,150000,9
22-03-2016,16499,test,coupe,2007,manuell,239,150000,7
01-03-2016,7650,control,cabrio,2012,manuell,84,50000,3
17-03-2016,5000,control,limousine,2008,manuell,109,60000,9
05-04-2016,10300,control,cabrio,2003,manuell,170,125000,12
21-03-2016,11400,control,kleinwagen,2010,manuell,122,60000,6
13-03-2016,5200,test,Unknown,2005,manuell,147,80000,7
02-03-2016,8300,control,kombi,2001,manuell,192,150000,3
29-04-2016,1900,control,cabrio,1999,manuell,125,150000,2
14-03-2016,9250,control,cabrio,2008,manuell,160,125000,8
02-03-2016,3900,control,bus,2007,manuell,68,150000,12
11-04-2016,3250,test,kleinwagen,2008,manuell,67,80000,4
04-04-2016,500,test,Unknown,1980,automatik,57,125000,3
20-03-2016,2850,control,limousine,2002,manuell,75,125000,2
22-03-2016,2900,test,kleinwagen,2007,automatik,52,60000,6
13-03-2016,5400,test,kleinwagen,2008,manuell,101,150000,3
17-04-2016,999,test,limousine,2002,manuell,110,150000,3
28-03-2016,8400,control,kombi,2009,manuell,122,125000,5
28-04-2016,1940,control,kleinwagen,2002,manuell,75,150000,7
06-04-2016,2900,control,kleinwagen,2007,manuell,75,80000,4
23-04-2016,24900,control,kombi,2011,automatik,170,90000,11
07-04-2016,9000,control,limousine,2008,manuell,170,150000,10
27-04-2016,1600,test,limousine,1998,manuell,131,150000,12
20-03-2016,13000,test,suv,2009,automatik,224,125000,7
08-04-2016,2050,test,cabrio,2003,automatik,54,125000,1
06-03-2016,7500,test,kombi,2006,automatik,231,150000,12
22-04-2016,6990,test,bus,2007,manuell,105,70000,12
11-04-2016,2500,test,coupe,1983,manuell,75,150000,4
06-03-2016,105000,test,coupe,2011,manuell,408,70000,10
09-04-2016,1500,control,cabrio,2003,manuell,135,150000,3
07-03-2016,3250,control,kombi,2007,manuell,112,150000,8
14-03-2016,8150,test,kombi,2007,manuell,140,150000,11
18-04-2016,15500,test,kombi,2010,automatik,211,125000,12
20-04-2016,3900,control,bus,2000,manuell,109,150000,4
16-03-2016,25500,test,limousine,2008,automatik,326,125000,1
14-04-2016,9650,control,kombi,2008,manuell,160,125000,2
04-04-2016,550,test,kleinwagen,1992,manuell,60,100000,5
10-04-2016,500,test,kleinwagen,2000,manuell,54,150000,1
19-03-2016,6000,test,limousine,2009,manuell,80,125000,1
10-04-2016,1800,test,kleinwagen,2002,manuell,58,70000,3
21-03-2016,11799,test,kombi,2011,manuell,160,125000,7
16-03-2016,600,test,limousine,2000,manuell,73,150000,4
28-03-2016,5499,test,bus,2006,manuell,143,150000,8
06-04-2016,2750,test,kleinwagen,2003,manuell,64,150000,4
02-03-2016,3999,control,Unknown,2016,automatik,250,150000,8
13-03-2016,3000,control,kleinwagen,2003,manuell,101,125000,7
18-04-2016,3500,test,cabrio,2000,manuell,110,125000,6
02-03-2016,2950,test,suv,2001,automatik,111,150000,12
15-04-2016,14900,control,cabrio,2009,manuell,174,60000,8
25-03-2016,1000,control,limousine,1999,manuell,101,150000,12
01-03-2016,2950,control,cabrio,2001,manuell,116,150000,9
07-03-2016,22495,control,limousine,2012,manuell,235,50000,9
08-04-2016,4950,control,coupe,2001,automatik,197,150000,5
27-04-2016,4250,test,limousine,2002,automatik,193,150000,12
11-03-2016,5250,control,cabrio,2001,manuell,163,150000,6
08-03-2016,6500,control,coupe,2005,automatik,163,150000,2
23-03-2016,6500,test,kombi,2005,automatik,177,150000,7
16-04-2016,12400,test,bus,2009,automatik,140,100000,4
25-04-2016,2500,test,limousine,2002,manuell,122,150000,12
04-03-2016,1200,test,limousine,1999,manuell,75,150000,4
08-03-2016,2800,test,kleinwagen,2005,manuell,54,150000,7
19-04-2016,980,control,bus,2001,manuell,101,150000,12
17-04-2016,7950,test,suv,2007,manuell,177,125000,12
01-04-2016,3200,test,limousine,1999,manuell,150,150000,8
04-03-2016,7390,test,limousine,2008,manuell,80,125000,8
14-04-2016,1500,control,limousine,2000,manuell,105,150000,5
06-03-2016,3000,test,coupe,2002,manuell,116,150000,10
03-04-2016,4900,control,bus,1996,manuell,102,150000,4
08-03-2016,16900,control,kombi,2010,automatik,239,150000,9
15-03-2016,5300,test,suv,2010,manuell,110,80000,5
09-03-2016,4500,test,bus,1998,automatik,143,150000,5
11-04-2016,550,test,limousine,2001,manuell,105,150000,9
06-04-2016,4490,control,andere,2008,manuell,109,150000,12
11-03-2016,2299,control,limousine,2001,manuell,116,150000,12
28-04-2016,18900,test,cabrio,2012,manuell,140,80000,4
24-04-2016,11500,control,bus,2002,automatik,102,150000,5
25-04-2016,10500,test,kombi,2009,manuell,136,150000,8
19-03-2016,13700,test,limousine,2005,automatik,334,150000,8
22-04-2016,10500,control,kombi,2005,manuell,179,150000,7
16-03-2016,700,test,andere,1998,manuell,100,150000,10
08-04-2016,14490,control,suv,2011,manuell,150,125000,5
08-04-2016,6200,test,kombi,2007,manuell,140,150000,9
08-04-2016,5890,test,limousine,2005,automatik,163,150000,9
16-03-2016,890,control,limousine,1998,manuell,102,150000,9
26-03-2016,500,test,limousine,1997,manuell,105,100000,10
26-03-2016,8990,test,kombi,2006,manuell,177,150000,11
08-04-2016,4500,control,limousine,2001,manuell,131,150000,12
16-03-2016,3000,test,limousine,2002,automatik,231,150000,1
03-03-2016,9300,control,bus,2011,manuell,128,100000,7
07-03-2016,13890,test,bus,2012,manuell,122,150000,7
05-03-2016,11900,control,limousine,2010,manuell,140,100000,3
18-03-2016,600,test,Unknown,2016,manuell,60,150000,11
30-04-2016,3550,control,limousine,2004,manuell,106,150000,6
08-04-2016,8500,control,kombi,2010,manuell,145,125000,6
12-04-2016,9400,control,limousine,2005,automatik,334,150000,7
24-04-2016,2799,control,kleinwagen,2004,manuell,88,100000,9
04-04-2016,1200,test,kleinwagen,1993,manuell,54,100000,1
11-04-2016,1390,test,kombi,2000,manuell,101,150000,1
02-04-2016,999,control,limousine,1998,manuell,150,150000,9
04-04-2016,625,control,Unknown,2016,Unknown,105,150000,2
18-04-2016,9500,control,bus,2006,automatik,140,60000,8
05-03-2016,6500,control,kombi,2007,manuell,116,50000,6
08-03-2016,5900,control,bus,2007,manuell,105,100000,8
10-04-2016,1400,test,limousine,2000,manuell,107,150000,5
21-04-2016,6499,test,limousine,2001,automatik,231,150000,9
19-04-2016,8950,control,kleinwagen,2012,manuell,109,30000,1
20-04-2016,8100,test,kombi,2010,manuell,122,150000,7
02-03-2016,4900,test,kombi,2004,manuell,184,150000,11
19-03-2016,5500,control,kleinwagen,2011,manuell,75,60000,7
28-03-2016,14700,test,limousine,2011,manuell,143,60000,9
05-03-2016,2750,control,cabrio,2004,manuell,101,150000,2
27-03-2016,5500,control,cabrio,1999,manuell,192,150000,4
21-04-2016,1650,control,kleinwagen,2003,manuell,88,150000,11
06-04-2016,1300,test,kleinwagen,2003,manuell,75,150000,11
04-04-2016,3000,control,bus,2012,manuell,75,125000,2
07-04-2016,1999,control,andere,1992,manuell,75,150000,10
25-03-2016,9900,test,cabrio,2005,manuell,231,150000,3
07-04-2016,4100,control,kombi,1998,automatik,195,150000,2
22-04-2016,2500,test,coupe,1998,manuell,140,150000,5
22-03-2016,700,control,bus,2001,manuell,139,150000,10
21-04-2016,9450,control,kombi,2008,manuell,102,100000,11
03-04-2016,15800,test,suv,2014,manuell,105,40000,8
17-03-2016,2600,control,Unknown,2016,manuell,170,5000,4
21-04-2016,12500,control,bus,1999,manuell,102,150000,3
19-04-2016,3900,test,limousine,2007,manuell,120,150000,4
19-04-2016,4999,test,coupe,2001,automatik,129,150000,6
19-04-2016,1050,test,bus,2004,manuell,103,150000,9
14-04-2016,520,test,kleinwagen,1999,manuell,60,150000,11
06-03-2016,1300,control,limousine,2001,manuell,95,150000,3
28-03-2016,1199,control,cabrio,1993,manuell,90,150000,5
26-04-2016,1200,control,limousine,2000,manuell,101,150000,5
16-03-2016,2500,control,limousine,2001,automatik,75,100000,8
16-04-2016,8888,test,limousine,2008,manuell,102,20000,4
22-04-2016,1950,control,kleinwagen,2003,manuell,75,150000,4
28-04-2016,1000,control,kleinwagen,1995,manuell,75,150000,2
27-03-2016,4500,control,bus,2005,manuell,150,150000,8
04-03-2016,2500,test,kombi,2002,automatik,155,150000,3
09-04-2016,2150,control,kombi,2004,manuell,105,150000,4
08-04-2016,7250,test,kombi,2006,automatik,179,150000,11
12-03-2016,5950,control,bus,2007,manuell,129,150000,12
22-04-2016,4700,test,kombi,2008,manuell,105,150000,6
08-03-2016,8900,control,limousine,2005,automatik,272,150000,11
19-03-2016,2750,test,bus,2001,manuell,145,150000,5
10-04-2016,5600,test,bus,2004,manuell,101,150000,10
02-04-2016,14900,control,kombi,2010,manuell,110,150000,10
08-03-2016,2600,test,limousine,2002,automatik,163,150000,9
26-04-2016,4200,control,limousine,2005,manuell,105,150000,8
12-03-2016,6000,control,bus,2005,manuell,150,70000,12
08-03-2016,3600,control,limousine,2002,manuell,116,150000,4
